Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,FRUTO,INCIDENCIA,severidad
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,1,45
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,1,40
0,26,81,22,0,1,189,6,1,75
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,1,70
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,1,70
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,1,40
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,1,60
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,1,70
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,1,40
0,26,81,22,0,1,189,10,1,30
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,1,50
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,0,0
0,26,81,22,0,1,189,9,1,40
0,26,81,22,0,1,189,10,0,0
0,26,81,22,0,1,189,1,0,0
0,26,81,22,0,1,189,2,0,0
0,26,81,22,0,1,189,3,0,0
0,26,81,22,0,1,189,4,0,0
0,26,81,22,0,1,189,5,0,0
0,26,81,22,0,1,189,6,0,0
0,26,81,22,0,1,189,7,0,0
0,26,81,22,0,1,189,8,1,65
0,26,81,22,0,1,189,9,0,0
0,26,81,22,0,1,189,10,0,0
